产地,产品,类别,单位,低价,高价,均价,发行时间
冀辽,苦菊,蔬菜,斤,1.4,3.0,2.2,2023-07-02 00:00:00
冀辽,油麦菜,蔬菜,斤,1.5,2.5,2.0,2023-07-02 00:00:00
冀甘,散菜花,蔬菜,斤,1.8,2.8,2.3,2023-07-02 00:00:00
冀,绿菜花,蔬菜,斤,1.5,2.0,1.75,2023-07-02 00:00:00
nan,绿豆芽,蔬菜,斤,0.95,1.0,0.98,2023-07-02 00:00:00
鲁,姜,蔬菜,斤,8.0,11.0,9.5,2023-07-02 00:00:00
云豫,大蒜,蔬菜,斤,3.0,4.0,3.5,2023-07-02 00:00:00
豫苏鲁,大蒜,蔬菜,斤,4.8,6.9,5.85,2023-07-02 00:00:00
鲁,蒜米,蔬菜,斤,4.5,5.0,4.75,2023-07-02 00:00:00
鲁,大葱,蔬菜,斤,1.0,1.1,1.05,2023-07-02 00:00:00
冀豫,小葱,蔬菜,斤,1.3,2.0,1.65,2023-07-02 00:00:00
豫鲁,蒜苗,蔬菜,斤,3.0,6.5,4.75,2023-07-02 00:00:00
冀,蒜黄,蔬菜,斤,7.0,8.0,7.5,2023-07-02 00:00:00
甘,青蒜,蔬菜,斤,5.5,6.0,5.75,2023-07-02 00:00:00
冀京,平菇,蔬菜,斤,2.5,3.5,3.0,2023-07-02 00:00:00
冀,香菇,蔬菜,斤,3.5,7.0,5.25,2023-07-02 00:00:00
冀豫京,白玉菇,蔬菜,斤,3.0,3.5,3.25,2023-07-02 00:00:00
冀闽,口蘑,蔬菜,斤,7.0,7.5,7.25,2023-07-02 00:00:00
苏豫津,杏鲍菇,蔬菜,斤,2.5,3.0,2.75,2023-07-02 00:00:00
辽鲁京,金针菇,蔬菜,斤,1.5,2.5,2.0,2023-07-02 00:00:00
nan,菠萝,水果,斤,2.2,2.8,2.5,2023-07-02 00:00:00
nan,圣女果,水果,斤,4.0,5.0,4.5,2023-07-02 00:00:00
nan,百香果,水果,斤,9.5,10.0,9.75,2023-07-02 00:00:00
nan,冬枣,水果,斤,12.0,20.0,16.0,2023-07-02 00:00:00
nan,杨梅,水果,斤,10.0,15.0,12.5,2023-07-02 00:00:00
nan,黄豆芽,蔬菜,斤,0.85,0.9,0.88,2023-07-02 00:00:00
冀鲁,番茄,蔬菜,斤,1.2,1.5,1.35,2023-07-02 00:00:00
冀,番茄,蔬菜,斤,1.4,1.8,1.6,2023-07-02 00:00:00
蒙,番茄,蔬菜,斤,1.8,1.9,1.85,2023-07-02 00:00:00
鲁辽冀,黄瓜,蔬菜,斤,1.0,1.4,1.2,2023-07-02 00:00:00
冀,黄瓜,蔬菜,斤,1.6,2.5,2.05,2023-07-02 00:00:00
辽冀,小黄瓜,蔬菜,斤,2.0,2.5,2.25,2023-07-02 00:00:00
辽鲁,小黄瓜,蔬菜,斤,3.5,3.8,3.65,2023-07-02 00:00:00
冀鲁,茄子,蔬菜,斤,0.6,1.2,0.9,2023-07-02 00:00:00
冀辽,长茄,蔬菜,斤,0.6,1.2,0.9,2023-07-02 00:00:00
冀京,线茄,蔬菜,斤,0.7,1.5,1.1,2023-07-02 00:00:00
京,广茄,蔬菜,斤,0.7,0.8,0.75,2023-07-02 00:00:00
桂冀,冬瓜,蔬菜,斤,1.0,1.1,1.05,2023-07-02 00:00:00
冀,冬瓜,蔬菜,斤,0.6,0.65,0.63,2023-07-02 00:00:00
冀鲁,毛冬瓜,蔬菜,斤,0.7,0.8,0.75,2023-07-02 00:00:00
鲁冀,架豆,蔬菜,斤,2.0,5.5,3.75,2023-07-02 00:00:00
冀辽,豆王,蔬菜,斤,3.0,6.0,4.5,2023-07-02 00:00:00
冀辽,扁豆,蔬菜,斤,2.0,3.8,2.9,2023-07-02 00:00:00
鲁冀,豇豆,蔬菜,斤,1.8,2.5,2.15,2023-07-02 00:00:00
鲁辽,白不老,蔬菜,斤,2.0,4.0,3.0,2023-07-02 00:00:00
nan,黄鳝,水产,斤,45.0,48.0,46.5,2023-07-02 00:00:00
nan,罗非鱼,水产,斤,10.0,11.0,10.5,2023-07-02 00:00:00
nan,虹鳟鱼,水产,斤,23.0,23.0,23.0,2023-07-02 00:00:00
nan,鲟鱼,水产,斤,20.0,20.0,20.0,2023-07-02 00:00:00
nan,青鱼,水产,斤,12.0,13.0,12.5,2023-07-02 00:00:00
nan,桂鱼,水产,斤,62.0,63.0,62.5,2023-07-02 00:00:00
nan,嘎鱼,水产,斤,19.0,19.0,19.0,2023-07-02 00:00:00
nan,嘎鱼,水产,斤,18.0,18.0,18.0,2023-07-02 00:00:00
nan,淡水鲈鱼,水产,斤,21.0,23.0,22.0,2023-07-02 00:00:00
nan,泥鳅,水产,斤,17.0,23.0,20.0,2023-07-02 00:00:00
nan,清江鱼,水产,斤,11.0,13.0,12.0,2023-07-02 00:00:00
nan,多春鱼,水产,斤,14.0,15.0,14.5,2023-07-02 00:00:00
nan,燕鲅,水产,斤,20.0,22.0,21.0,2023-07-02 00:00:00
nan,鲐鲅,水产,斤,5.0,6.0,5.5,2023-07-02 00:00:00
nan,小黄花鱼,水产,斤,6.0,8.0,7.0,2023-07-02 00:00:00
nan,鲽鱼,水产,斤,28.0,30.0,29.0,2023-07-02 00:00:00
nan,红星斑,水产,斤,145.0,150.0,147.5,2023-07-02 00:00:00
nan,多宝鱼,水产,斤,33.0,35.0,34.0,2023-07-02 00:00:00
nan,石斑鱼,水产,斤,63.0,65.0,64.0,2023-07-02 00:00:00
nan,鳕鱼,水产,斤,7.0,8.0,7.5,2023-07-02 00:00:00
nan,蓝莓,水果,斤,15.0,45.0,30.0,2023-07-02 00:00:00
nan,火龙果,水果,斤,3.5,9.0,6.25,2023-07-02 00:00:00
nan,火龙果,水果,斤,3.0,5.0,4.0,2023-07-02 00:00:00
